page,name,shop_product_code,img_url
0,ROBOT SPIRITS ＜SIDE MS＞ RX-93ff νGUNDAM,N2606411001001,https://p-bandai.com/img/hk/p/t/N2606411001001_001.jpg
0,METAL BUILD I.W.S.P.,N2623282001001,https://p-bandai.com/img/hk/p/t/N2623282001001_001.jpg
0,S.H.Figuarts KAMEN RIDER SABELA KONCHUU DAIHYAKKA,N2611071001001,https://p-bandai.com/img/hk/p/t/N2611071001001_001.jpg
0,S.H.Figuarts KAMEN RIDER GENM MUSOU GAMER,N2631818001001,https://p-bandai.com/img/hk/p/t/N2631818001001_001.jpg
0,GUNDAM FIX FIGURATION METAL COMPOSITE  RX-78-02 GUNDAM 【Cucuruz Doan's Island】,N2631683001001,https://p-bandai.com/img/hk/p/t/N2631683001001_001.jpg
0,GUNDAM FIX FIGURATION METAL COMPOSITE  MS-06F CUCURUZ DOAN'S ZAKU 【Cucuruz Doan's Island】,N2631684001001,https://p-bandai.com/img/hk/p/t/N2631684001001_001.jpg
0,ROBOT SPIRITS <SIDE MS> ZAKU II AND ZEON’s RECONNAISSANCE AIRCRAFT SET ver. A.N.I.M.E.,N2631844001001,https://p-bandai.com/img/hk/p/t/N2631844001001_001.jpg
0,S.H.Figuarts KAMEN RIDER ZERO-TWO (IS Ver.),N2611074001001,https://p-bandai.com/img/hk/p/t/N2611074001001_001.jpg
0,SAINT CLOTH MYTH CENTAURUS BABEL,N2631734001001,https://p-bandai.com/img/hk/p/t/N2631734001001_001.jpg
0,"METAL BUILD GUREN TYPE-08 ELEMENTS ""SEITEN""",N2613274001001,https://p-bandai.com/img/hk/p/t/N2613274001001_001.jpg
0,S.H.Figuarts SC-1M Space Sevenger,N2631753001001,https://p-bandai.com/img/hk/p/t/N2631753001001_001.jpg
0,S.H.Figuarts KAMEN RIDER ARK-ZERO & ARK EFFECT PARTS SET,N2566338001001,https://p-bandai.com/img/hk/p/t/N2566338001001_001.jpg
0,S.H.Figuarts KAMEN RIDER REVICE,N2631790001001,https://p-bandai.com/img/hk/p/t/N2631790001001_001.jpg
0,METAL ROBOT SPIRITS <SIDE MS>GUNDAM DEATHSCYTHE HELL,N2631810001001,https://p-bandai.com/img/hk/p/t/N2631810001001_001.jpg
0,S.H.Figuarts ULTRAWOMAN GRIGIO,N2622466001001,https://p-bandai.com/img/hk/p/t/N2622466001001_001.jpg
0,ROBOT SPIRITS <SIDE MS> MS-06R-1 High Mobility Zaku II (Early Mass Production Type),N2622275001001,https://p-bandai.com/img/hk/p/t/N2622275001001_001.jpg
0,FiguartsZERO USHIO KOFUNE,N2622434001001,https://p-bandai.com/img/hk/p/t/N2622434001001_001.jpg
0,METAL ROBOT SPIRITS <SIDE MS> G-PARTS[HRUDUDU]＆ ADVANCED PARTS SET,N2622480001001,https://p-bandai.com/img/hk/p/t/N2622480001001_001.jpg
0,S.H.Figuarts (SHINKOCCHOUSEIHOU) KAMEN RIDER OOO TAJADOLCOMBOETERNITY,N2613641001001,https://p-bandai.com/img/hk/p/t/N2613641001001_001.jpg
0,S.H.Figuarts KAMEN RIDER ESPADA ARABIANA NIGHT,N2623281001001,https://p-bandai.com/img/hk/p/t/N2623281001001_001.jpg
0,S.H.Figuarts ULTRAMAN SUIT TARO -the Animation-,N2622467001001,https://p-bandai.com/img/hk/p/t/N2622467001001_001.jpg
0,Figuarts mini Sumiko Zenko Inoko -Entertainment District Arc Set-,N2631770001001,https://p-bandai.com/img/hk/p/t/N2631770001001_001.jpg
0,THE ROBOT SPIRITS＜SIDE ANTIBODY＞ NELLIE BRAINPOWERD,N2609894001001,https://p-bandai.com/img/hk/p/t/N2609894001001_001.jpg
0,THE ROBOT SPIRITS＜SIDE ANTIBODY＞ HIME BRAINPOWERD,N2609895001001,https://p-bandai.com/img/hk/p/t/N2609895001001_001.jpg
0,SOUL OF CHOGOKIN GX-101X ONE EIGHT,N2595865001001,https://p-bandai.com/img/hk/p/t/N2595865001001_001.jpg
0,ROBOT SPIRITS <SIDE MS> MS-06V-6 ZAKU TANK GREEN MACAQUE ver. A.N.I.M.E.,N2606517001001,https://p-bandai.com/img/hk/p/t/N2606517001001_001.jpg
0,HI-METAL R XABUNGLE 40th Anniv.,N2622468001001,https://p-bandai.com/img/hk/p/t/N2622468001001_001.jpg
0,S.H.Figuarts (SHINKOCCHOUSEIHOU) MASKED RIDER KUUGA TITAN FORM,N2519511001001,https://p-bandai.com/img/hk/p/t/N2519511001001_001.jpg
0,METAL BUILD GUNDAM ASTRAY RED DRAGONICS [2022年10月發送],N2593474001002,https://p-bandai.com/img/hk/p/t/N2593474001002_001.jpg
0,SAINT CLOTH MYTH STEEL SAINT LANDCLOTH DAICHI ＜REVIVAL Ver.＞,N2611492001001,https://p-bandai.com/img/hk/p/t/N2611492001001_001.jpg
0,METAL BUILD CALETVWLCH OPTION SET,N2492453001002,https://p-bandai.com/img/hk/p/t/N2492453001002_001.jpg
0,METAL BUILD FLIGHT UNIT OPTION SET （ALTERNATIVE STRIKE Ver.）,N2492454001002,https://p-bandai.com/img/hk/p/t/N2492454001002_001.jpg
1,METAL BUILD ASTRAY DDRAIG HEAD OPTION SET,N2593473001001,https://p-bandai.com/img/hk/p/t/N2593473001001_001.jpg
1,S.H.Figuarts KAMEN RIDER BUILD GENIUS FORM,N2519519001001,https://p-bandai.com/img/hk/p/t/N2519519001001_001.jpg
